id,PG,SG,SF,PF,C,sum,label_name
Garrett Temple,1,1,1,0,0,35,Garrett Temple
Gary Neal,0,1,0,0,0,122,Gary Neal
Greg Smith,0,0,0,0,0,39,Greg Smith
Harrison Barnes,0,0,1,0,0,153,Harrison Barnes
Ian Mahinmi,0,0,0,0,1,53,Ian Mahinmi
James Harden,0,1,0,0,0,597,James Harden
Jared Sullinger,0,0,0,1,0,111,Jared Sullinger
Jarrett Jack,1,1,0,0,0,68,Jarrett Jack
Jason Maxiell,0,0,0,1,1,33,Jason Maxiell
Jason Thompson,0,0,0,1,1,72,Jason Thompson
Jeff Taylor,0,0,0,0,0,39,Jeff Taylor
Jerryd Bayless,1,1,0,0,0,89,Jerryd Bayless
Johan Petro,0,0,0,0,1,28,Johan Petro
John Henson,0,0,0,1,1,113,John Henson
John Jenkins,0,1,0,0,0,76,John Jenkins
Jordan Hill,0,0,0,1,1,85,Jordan Hill
Jose Calderon,1,1,0,0,0,136,Jose Calderon
Jrue Holiday,1,0,0,0,0,221,Jrue Holiday
Julyan Stone,1,1,0,0,0,11,Julyan Stone
Kendall Marshall,1,0,0,0,0,102,Kendall Marshall
Kevin Jones,0,0,0,1,0,11,Kevin Jones
Kevin Seraphin,0,0,0,1,1,59,Kevin Seraphin
Lance Stephenson,0,1,1,0,0,282,Lance Stephenson
Larry Sanders,0,0,0,1,1,194,Larry Sanders
Lou Williams,1,1,0,0,0,144,Lou Williams
Marquis Teague,1,1,0,0,0,54,Marquis Teague
Marreese Speights,0,0,0,1,1,92,Marreese Speights
MarShon Brooks,0,1,0,0,0,39,MarShon Brooks
Marvin Williams,0,0,1,1,0,143,Marvin Williams
Matt Bonner,0,0,0,1,1,60,Matt Bonner
Maurice Harkless,0,0,1,0,0,69,Maurice Harkless
Michael Kidd-Gilchrist,0,0,1,0,0,196,Michael Kidd-Gilchrist
Mirza Teletovic,0,0,1,1,0,70,Mirza Teletovic
Nando De Colo,0,1,1,0,0,53,Nando De Colo
Nick Collison,0,0,0,1,1,68,Nick Collison
O.J. Mayo,0,1,0,0,0,126,O.J. Mayo
Omer Asik,0,0,0,0,1,154,Omer Asik
P.J. Tucker,0,1,1,0,0,57,P.J. Tucker
Pablo Prigioni,1,0,0,0,0,91,Pablo Prigioni
Patrick Patterson,0,0,0,1,0,93,Patrick Patterson
Randy Foye,1,1,0,0,0,101,Randy Foye
Rasheed Wallace,0,0,0,1,1,70,Rasheed Wallace
Reggie Evans,0,0,0,1,0,95,Reggie Evans
Royce White,0,0,0,1,0,41,Royce White
Sam Young,0,1,1,0,0,24,Sam Young
Samardo Samuels,0,0,0,1,1,9,Samardo Samuels
Spencer Hawes,0,0,0,1,1,149,Spencer Hawes
Steve Novak,0,0,1,1,0,87,Steve Novak
Taj Gibson,0,0,0,1,0,199,Taj Gibson
Terrence Ross,0,1,1,0,0,91,Terrence Ross
Thabo Sefolosha,0,1,1,0,0,158,Thabo Sefolosha
Thomas Robinson,0,0,0,1,0,83,Thomas Robinson
Tiago Splitter,0,0,0,1,1,184,Tiago Splitter
Tim Hardaway,0,0,0,0,0,87,Tim Hardaway
Timofey Mozgov,0,0,0,0,1,121,Timofey Mozgov
Tony Allen,1,1,0,0,0,145,Tony Allen
Tornike Shengelia,0,0,1,0,0,13,Tornike Shengelia
Trevor Booker,0,0,0,1,0,41,Trevor Booker
Tyler Zeller,0,0,0,0,1,123,Tyler Zeller
Tyshawn Taylor,1,0,0,0,0,30,Tyshawn Taylor
Wesley Johnson,0,1,1,0,0,51,Wesley Johnson
Willie Green,0,1,0,0,0,47,Willie Green
Yi Jianlian,0,0,0,1,0,8,Yi Jianlian
Andrea Bargnani,0,0,0,1,1,105,Andrea Bargnani
Armon Johnson,1,0,0,0,0,2,Armon Johnson
Brad Miller,0,0,0,1,1,16,Brad Miller
C.J. Watson,1,0,0,0,0,109,C.J. Watson
Courtney Lee,0,1,0,0,0,91,Courtney Lee
D.J. White,0,0,0,1,1,11,D.J. White
DeJuan Blair,0,0,0,1,1,48,DeJuan Blair
Earl Barron,0,0,0,0,1,10,Earl Barron
Ike Diogu,0,0,0,1,0,12,Ike Diogu
Mike James,1,0,0,0,0,40,Mike James
Nolan Smith,1,0,0,0,0,8,Nolan Smith
Tony Battie,0,0,0,1,1,2,Tony Battie
Zaza Pachulia,0,0,0,0,1,120,Zaza Pachulia
